"filename", "language", "YAML", "scs", "Markdown", "comment", "blank", "total"
"/mnt/dev/development/ostis/study/ostis/gt/.github/ISSUE_TEMPLATE/формализация-раздела.md", "Markdown", 0, 0, 14, 0, 5, 19
"/mnt/dev/development/ostis/study/ostis/gt/.github/workflows/update-scs.yml", "YAML", 18, 0, 0, 0, 3, 21
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/concept_conditional_inference_forest.scs", "scs", 0, 45, 0, 0, 10, 55
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/concept_decision_forest.scs", "scs", 0, 64, 0, 0, 15, 79
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/concept_extra_trees_forest.scs", "scs", 0, 59, 0, 0, 14, 73
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/concept_forest.scs", "scs", 0, 121, 0, 0, 29, 150
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/concept_polyforest.scs", "scs", 0, 60, 0, 0, 15, 75
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/concept_pseudoforest.scs", "scs", 0, 23, 0, 0, 7, 30
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/concept_random_forest.scs", "scs", 0, 55, 0, 0, 14, 69
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/conditional_inference_forest.concept.yaml", "YAML", 35, 0, 0, 0, 3, 38
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/decision_forest.concept.yaml", "YAML", 51, 0, 0, 0, 4, 55
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/domain_forests.scs", "scs", 0, 41, 0, 0, 9, 50
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/extra_trees_forest.concept.yaml", "YAML", 46, 0, 0, 0, 4, 50
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/forest.concept.yaml", "YAML", 86, 0, 0, 0, 8, 94
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/forests.domain.yaml", "YAML", 12, 0, 0, 0, 4, 16
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/polyforest.concept.yaml", "YAML", 41, 0, 0, 0, 4, 45
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/pseudoforest.concept.yaml", "YAML", 14, 0, 0, 0, 2, 16
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Forests/random_forest.concept.yaml", "YAML", 42, 0, 0, 0, 4, 46
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Binary Trees/binary_search_tree.concept.yaml", "YAML", 20, 0, 0, 0, 2, 22
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Binary Trees/binary_tree.concept.yaml", "YAML", 48, 0, 0, 0, 4, 52
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Binary Trees/binary_trees.domain.yaml", "YAML", 10, 0, 0, 0, 4, 14
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Binary Trees/concept_binary_search_tree.scs", "scs", 0, 29, 0, 0, 9, 38
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Binary Trees/concept_binary_tree.scs", "scs", 0, 58, 0, 0, 14, 72
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Binary Trees/concept_matrix_tree.scs", "scs", 0, 37, 0, 0, 10, 47
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Binary Trees/domain_binary_trees.scs", "scs", 0, 34, 0, 0, 11, 45
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Binary Trees/matrix_tree.concept.yaml", "YAML", 20, 0, 0, 0, 2, 22
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/binary_heap.concept.yaml", "YAML", 21, 0, 0, 0, 3, 24
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/biparental_heap.concept.yaml", "YAML", 26, 0, 0, 0, 3, 29
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/concept_binary_heap.scs", "scs", 0, 41, 0, 0, 11, 52
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/concept_biparental_heap.scs", "scs", 0, 39, 0, 0, 10, 49
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/concept_d_ary_heap.scs", "scs", 0, 39, 0, 0, 10, 49
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/concept_fibonacci_heap.scs", "scs", 0, 21, 0, 0, 7, 28
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/concept_heap.scs", "scs", 0, 44, 0, 0, 12, 56
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/concept_leftist_heap.scs", "scs", 0, 24, 0, 0, 8, 32
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/concept_max_heap.scs", "scs", 0, 35, 0, 0, 10, 45
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/concept_min_heap.scs", "scs", 0, 35, 0, 0, 10, 45
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/d_ary_heap.concept.yaml", "YAML", 23, 0, 0, 0, 2, 25
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/domain_heaps.scs", "scs", 0, 44, 0, 0, 9, 53
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/fibonacci_heap.concept.yaml", "YAML", 13, 0, 0, 0, 2, 15
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/heap.concept.yaml", "YAML", 32, 0, 0, 0, 4, 36
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/heaps.domain.yaml", "YAML", 13, 0, 0, 0, 4, 17
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/leftist_heap.concept.yaml", "YAML", 15, 0, 0, 0, 1, 16
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/max_heap.concept.yaml", "YAML", 23, 0, 0, 0, 3, 26
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Heaps/min_heap.concept.yaml", "YAML", 23, 0, 0, 0, 3, 26
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Quad Trees/concept_polygonal_map_quadtree.scs", "scs", 0, 36, 0, 0, 11, 47
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Quad Trees/concept_quadtree.scs", "scs", 0, 97, 0, 0, 24, 121
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Quad Trees/domain_quadtrees.scs", "scs", 0, 26, 0, 0, 9, 35
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Quad Trees/polygonal_map_quadtree.concept.yaml", "YAML", 25, 0, 0, 0, 3, 28
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Quad Trees/quadtree.concept.yaml", "YAML", 65, 0, 0, 0, 6, 71
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/Quad Trees/quadtrees.domain.yaml", "YAML", 7, 0, 0, 0, 4, 11
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/cartesian_tree.concept.yaml", "YAML", 31, 0, 0, 0, 1, 32
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concept_cartesian_tree.scs", "scs", 0, 33, 0, 0, 9, 42
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concept_cover_tree.scs", "scs", 0, 54, 0, 0, 11, 65
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concept_dancing_tree.scs", "scs", 0, 50, 0, 0, 11, 61
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concept_decision_tree.scs", "scs", 0, 53, 0, 0, 10, 63
